epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.0136,2.78679,7.49286,2.65209,0.0025,0.0566,0.00478,0.00213,3.30521,10.1128,2.87982,4e-05,4e-05,4e-05
2,92.8912,2.56484,7.21928,2.45342,0.00333,0.07547,0.00856,0.00557,3.2002,10.1126,2.83799,9.901e-05,9.901e-05,9.901e-05
3,94.597,2.79634,6.71383,2.3293,0.00667,0.15094,0.02495,0.01692,3.02801,9.87875,2.67522,0.000156832,0.000156832,0.000156832
4,96.5399,2.6648,6.65257,2.36443,0.01333,0.30189,0.0434,0.03385,2.94392,9.43162,2.31596,0.000213466,0.000213466,0.000213466
5,98.1872,2.62479,5.64334,2.15132,0.01667,0.37736,0.07002,0.05489,2.96255,9.23058,2.23078,0.000268912,0.000268912,0.000268912
6,100.515,2.78783,5.63264,2.22232,0.0175,0.39623,0.0791,0.06043,3.10193,9.14932,2.28402,0.00032317,0.00032317,0.00032317
7,102.138,2.64265,5.74733,2.16492,0.0175,0.39623,0.12223,0.08944,3.12512,9.03744,2.2766,0.00037624,0.00037624,0.00037624
8,103.875,2.74623,4.89551,2.05817,0.01833,0.41509,0.16998,0.12148,2.95149,8.81803,2.20891,0.000428122,0.000428122,0.000428122
9,105.899,2.69097,4.51355,2.11496,0.01833,0.41509,0.16998,0.12148,2.95149,8.81803,2.20891,0.000478816,0.000478816,0.000478816
10,107.821,2.62901,4.27639,2.12592,0.02083,0.4717,0.23196,0.15745,2.96542,8.70185,2.22394,0.000528322,0.000528322,0.000528322
11,109.973,2.69158,4.10827,2.07315,0.02083,0.4717,0.23196,0.15745,2.96542,8.70185,2.22394,0.00057664,0.00057664,0.00057664
12,112.016,2.86099,4.17875,2.12641,0.02,0.45283,0.23907,0.15411,3.00263,8.56681,2.16803,0.00062377,0.00062377,0.00062377
13,113.598,2.72601,3.69102,2.02345,0.02,0.45283,0.23907,0.15411,3.00263,8.56681,2.16803,0.000669712,0.000669712,0.000669712
14,115.229,2.94721,5.51135,2.43146,0.02083,0.4717,0.25266,0.15863,2.99364,8.45659,2.12268,0.000714466,0.000714466,0.000714466
15,117.06,2.71573,4.37489,2.12272,0.02083,0.4717,0.25266,0.15863,2.99364,8.45659,2.12268,0.000758032,0.000758032,0.000758032
16,119.377,2.58551,3.84948,2.04347,0.02083,0.4717,0.25266,0.15863,2.99364,8.45659,2.12268,0.00080041,0.00080041,0.00080041
17,121.391,2.6051,4.0231,2.02462,0.24036,0.39623,0.30117,0.19559,2.91728,8.31013,2.1877,0.0008416,0.0008416,0.0008416
18,123.009,2.53573,3.99612,2.08596,0.24036,0.39623,0.30117,0.19559,2.91728,8.31013,2.1877,0.000881602,0.000881602,0.000881602
19,124.618,2.76803,4.28292,2.24915,0.24036,0.39623,0.30117,0.19559,2.91728,8.31013,2.1877,0.000920416,0.000920416,0.000920416
20,126.974,2.81498,4.17315,2.10308,0.70442,0.31493,0.31894,0.18219,3.03433,8.17254,2.29141,0.000958042,0.000958042,0.000958042
21,128.621,2.71536,3.43791,2.14913,0.70442,0.31493,0.31894,0.18219,3.03433,8.17254,2.29141,0.00099448,0.00099448,0.00099448
22,130.28,2.85729,4.09994,2.24623,0.70442,0.31493,0.31894,0.18219,3.03433,8.17254,2.29141,0.00102973,0.00102973,0.00102973
23,132.608,2.79114,3.66523,2.1532,0.70442,0.31493,0.31894,0.18219,3.03433,8.17254,2.29141,0.00106379,0.00106379,0.00106379
24,134.25,2.6774,3.78462,2.12069,0.82904,0.32075,0.38069,0.23049,2.99554,7.62201,2.33123,0.00109667,0.00109667,0.00109667
25,135.86,2.58521,3.98946,2.18874,0.82904,0.32075,0.38069,0.23049,2.99554,7.62201,2.33123,0.00112835,0.00112835,0.00112835
26,137.541,2.79841,3.60036,2.18963,0.82904,0.32075,0.38069,0.23049,2.99554,7.62201,2.33123,0.00115885,0.00115885,0.00115885
27,139.197,2.64821,3.51099,2.15065,0.82904,0.32075,0.38069,0.23049,2.99554,7.62201,2.33123,0.00118816,0.00118816,0.00118816
