epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.6775,2.71767,147.806,1.91454,0.00234,0.00404,0.00119,0.00067,3.04679,8.98137,2.11932,0.000361917,0.000361917,0.000361917
2,89.37,2.95277,29.3432,1.98916,0.01955,0.124,0.04372,0.03176,2.89118,8.22546,2.0436,0.000725001,0.000725001,0.000725001
3,103.953,2.84976,67.674,1.98497,0.00881,0.10523,0.04828,0.03156,3.1117,8.35505,2.21402,0.00108075,0.00108075,0.00108075
4,118.155,3.15513,59.3766,2.01751,0.0306,0.24368,0.075,0.04743,3.02011,7.58165,2.18462,0.001078,0.001078,0.001078
5,132.251,3.04324,42.2675,2.04573,0.04623,0.34899,0.12067,0.07185,3.15654,7.23273,2.11833,0.001067,0.001067,0.001067
6,147.068,3.02438,18.9168,2.02307,0.12906,0.59946,0.27812,0.14346,3.13697,6.1943,2.15609,0.00105601,0.00105601,0.00105601
7,161.882,3.06491,23.1119,2.03376,0.20234,0.6145,0.313,0.17363,3.01351,6.47008,2.05973,0.00104501,0.00104501,0.00104501
8,175.903,2.79045,26.4971,1.93228,0.20055,0.66331,0.33966,0.19762,2.98463,6.33173,2.05841,0.00103401,0.00103401,0.00103401
9,189.8,2.67545,14.5747,1.95422,0.24029,0.63939,0.31708,0.18332,3.00426,6.06473,2.08454,0.00102301,0.00102301,0.00102301
10,204.325,3.02853,10.5006,1.99016,0.20003,0.64072,0.31868,0.18024,3.01841,5.89596,2.07606,0.00101201,0.00101201,0.00101201
11,218.6,2.82923,16.6159,1.98292,0.28561,0.63693,0.32839,0.1995,2.83288,6.61264,2.00761,0.00100101,0.00100101,0.00100101
12,232.902,2.86422,13.04,1.96573,0.24085,0.65705,0.34356,0.20243,2.89351,6.15662,2.06775,0.000990012,0.000990012,0.000990012
13,247.057,2.77628,13.8191,1.95781,0.25072,0.6506,0.33047,0.20345,2.78104,6.34282,2.04449,0.000979013,0.000979013,0.000979013
14,261.426,2.70825,18.0586,1.90868,0.2706,0.54047,0.3279,0.20042,2.968,7.07209,2.12086,0.000968014,0.000968014,0.000968014
15,275.465,2.57826,12.7046,1.94368,0.25701,0.53613,0.33102,0.19641,3.05805,7.03154,2.0886,0.000957015,0.000957015,0.000957015
16,289.701,2.76573,13.8611,1.96866,0.33349,0.40776,0.28343,0.16941,2.85639,7.19035,2.04973,0.000946016,0.000946016,0.000946016
17,304.008,2.96171,10.8972,2.01733,0.30682,0.62236,0.42013,0.26351,2.83648,6.91576,2.02484,0.000935018,0.000935018,0.000935018
18,318.265,2.81851,9.01134,1.93241,0.29395,0.59638,0.37197,0.2347,2.91187,6.83488,2.03487,0.000924019,0.000924019,0.000924019
19,332.516,2.68341,7.91167,1.94288,0.24463,0.7158,0.43868,0.28381,2.70909,5.7428,2.02503,0.00091302,0.00091302,0.00091302
20,346.648,2.4525,11.3072,1.88446,0.33354,0.65237,0.42102,0.26982,2.84671,6.64123,2.10316,0.000902021,0.000902021,0.000902021
21,361.176,2.87601,9.64133,1.98735,0.27418,0.7051,0.43975,0.26248,2.92835,6.31228,2.0717,0.000891022,0.000891022,0.000891022
22,375.403,2.85697,8.79834,2.0127,0.28504,0.65357,0.41376,0.2535,2.81556,6.53709,2.06053,0.000880023,0.000880023,0.000880023
23,389.686,2.71432,9.40697,1.97559,0.25682,0.6997,0.45152,0.28761,2.68473,5.91867,2.061,0.000869024,0.000869024,0.000869024
24,404.294,2.62339,10.2533,1.97069,0.36494,0.66112,0.47328,0.29459,2.74008,6.15088,2.03096,0.000858025,0.000858025,0.000858025
25,418.61,2.63268,6.97904,1.9744,0.28137,0.71277,0.39645,0.24388,2.78851,5.85514,2.0235,0.000847026,0.000847026,0.000847026
26,432.666,2.75905,7.35183,2.01484,0.28811,0.73641,0.45488,0.27159,2.81754,5.90248,2.05936,0.000836027,0.000836027,0.000836027
27,446.839,2.66754,12.4966,1.91331,0.28292,0.72382,0.49511,0.30298,2.75438,6.44101,2.05633,0.000825029,0.000825029,0.000825029
28,460.912,2.49006,7.12918,1.97047,0.29202,0.70867,0.44067,0.29177,2.68377,5.85616,2.04351,0.00081403,0.00081403,0.00081403
29,475.13,2.72149,6.91772,1.95551,0.23803,0.7439,0.5144,0.33373,2.74216,5.22614,2.02091,0.000803031,0.000803031,0.000803031
30,489.559,2.55149,7.35852,1.92821,0.2919,0.70885,0.47007,0.30192,2.79199,6.15384,2.0627,0.000792032,0.000792032,0.000792032
31,503.8,2.46928,8.01013,1.9441,0.38424,0.62702,0.45806,0.29663,2.69823,6.68708,2.04526,0.000781033,0.000781033,0.000781033
32,518.063,2.55772,6.55538,1.99567,0.36736,0.64339,0.42587,0.26421,2.83059,6.56988,2.09082,0.000770034,0.000770034,0.000770034
33,532.48,2.58211,6.8167,2.00567,0.28866,0.72243,0.4609,0.30099,2.62116,5.91091,2.04303,0.000759035,0.000759035,0.000759035
34,546.875,2.59978,6.38019,1.96718,0.28344,0.76649,0.51723,0.31492,2.67752,5.65354,2.03211,0.000748036,0.000748036,0.000748036
35,560.772,2.64298,9.57299,1.98519,0.33074,0.73342,0.45793,0.29663,2.71684,5.93446,2.06489,0.000737037,0.000737037,0.000737037
36,574.737,2.63805,8.16324,1.91764,0.39573,0.59272,0.44796,0.30061,2.66659,7.01147,2.00162,0.000726038,0.000726038,0.000726038
37,588.893,2.61143,6.27616,1.94079,0.3092,0.75295,0.52023,0.3214,2.74976,5.75147,2.02527,0.00071504,0.00071504,0.00071504
38,603.202,2.58518,6.13761,1.94862,0.31958,0.80812,0.54546,0.36797,2.57959,5.17375,2.01097,0.000704041,0.000704041,0.000704041
39,616.952,2.28487,6.96133,1.86101,0.3784,0.70954,0.51516,0.3251,2.78659,6.20349,2.08024,0.000693042,0.000693042,0.000693042
40,631.032,2.63988,6.30681,2.00104,0.34437,0.73636,0.51368,0.33758,2.68934,6.08568,2.06648,0.000682043,0.000682043,0.000682043
41,645.394,2.5548,8.15826,1.92134,0.33416,0.71311,0.43724,0.2867,2.59843,6.52945,2.04093,0.000671044,0.000671044,0.000671044
42,659.868,2.53643,6.66253,1.93066,0.29345,0.78909,0.56601,0.36622,2.70896,5.41851,2.03746,0.000660045,0.000660045,0.000660045
43,674.356,2.28688,8.87461,1.82008,0.38406,0.69097,0.47512,0.31881,2.53847,6.51405,1.98867,0.000649046,0.000649046,0.000649046
44,688.611,2.56826,6.36608,1.90649,0.3045,0.78316,0.55832,0.35783,2.57481,5.34149,1.99548,0.000638047,0.000638047,0.000638047
45,702.753,2.49079,9.06723,1.85164,0.33179,0.77466,0.5887,0.38219,2.58866,5.72064,2.0018,0.000627048,0.000627048,0.000627048
46,716.934,2.43626,7.13932,1.89568,0.3425,0.76892,0.54103,0.36,2.5852,5.74095,2.02927,0.000616049,0.000616049,0.000616049
47,731.335,2.56567,8.83664,1.95355,0.39585,0.65596,0.47371,0.31391,2.64953,6.53239,2.02111,0.000605051,0.000605051,0.000605051
48,745.37,2.631,8.50434,1.8893,0.3358,0.7794,0.54499,0.3659,2.56927,5.94868,1.98265,0.000594052,0.000594052,0.000594052
49,759.465,2.59787,8.38382,1.91433,0.35515,0.76011,0.56698,0.37508,2.57855,6.234,1.97263,0.000583053,0.000583053,0.000583053
50,773.601,2.3214,7.35414,1.84338,0.35705,0.69513,0.53919,0.36196,2.57483,6.00614,1.99248,0.000572054,0.000572054,0.000572054
51,788.001,2.38359,6.53434,1.86683,0.35592,0.79459,0.58117,0.38337,2.58719,5.59967,1.99278,0.000561055,0.000561055,0.000561055
52,802.138,2.27289,7.49167,1.8783,0.37726,0.71358,0.53877,0.3733,2.50937,6.10225,1.98459,0.000550056,0.000550056,0.000550056
53,816.224,2.47598,6.8056,1.89423,0.34256,0.79421,0.57217,0.38187,2.53381,5.71935,1.98327,0.000539057,0.000539057,0.000539057
54,830.52,2.32024,7.63913,1.83913,0.34622,0.75814,0.51809,0.34503,2.66606,6.04702,2.01311,0.000528058,0.000528058,0.000528058
55,845.122,2.36182,7.82152,1.87921,0.36782,0.75656,0.50727,0.33685,2.52954,6.16848,1.9795,0.000517059,0.000517059,0.000517059
56,859.416,2.346,5.4527,1.8629,0.38215,0.80999,0.64634,0.43642,2.51881,5.31878,1.98168,0.00050606,0.00050606,0.00050606
57,873.662,2.53345,7.38313,1.85849,0.41816,0.62788,0.51494,0.36132,2.485,6.44602,1.95741,0.000495062,0.000495062,0.000495062
58,887.534,2.3975,5.9254,1.8851,0.35937,0.8027,0.61121,0.41593,2.48514,5.51647,1.98737,0.000484063,0.000484063,0.000484063
59,901.745,2.4555,5.71176,1.91463,0.34649,0.78686,0.58607,0.3949,2.60583,5.69923,2.0148,0.000473064,0.000473064,0.000473064
60,915.941,2.35743,5.70132,1.91859,0.32464,0.84311,0.67121,0.44668,2.53109,4.72474,1.99824,0.000462065,0.000462065,0.000462065
61,930.195,2.46185,6.03448,1.83686,0.3549,0.81274,0.5886,0.40133,2.50459,5.33659,1.97848,0.000451066,0.000451066,0.000451066
62,944.415,2.34263,6.87631,1.8734,0.38276,0.81261,0.64856,0.43626,2.51802,5.57457,1.98356,0.000440067,0.000440067,0.000440067
63,958.788,2.45749,5.36363,1.91546,0.36094,0.81071,0.6203,0.41588,2.50649,5.24959,1.98465,0.000429068,0.000429068,0.000429068
64,972.864,2.22391,6.95789,1.82789,0.3132,0.80477,0.63365,0.42242,2.52449,5.15251,1.98157,0.000418069,0.000418069,0.000418069
65,987.135,2.29345,8.80455,1.83773,0.36877,0.81761,0.65409,0.43807,2.49932,5.37845,1.96193,0.00040707,0.00040707,0.00040707
66,1001.16,2.39801,7.4805,1.84698,0.42066,0.7659,0.58368,0.40489,2.47202,6.08076,1.95295,0.000396071,0.000396071,0.000396071
67,1015.19,2.30615,6.56069,1.83672,0.50047,0.63676,0.57504,0.39306,2.597,6.70573,1.99729,0.000385073,0.000385073,0.000385073
68,1029.07,2.47904,6.80695,1.87364,0.47354,0.71109,0.59125,0.40078,2.4976,6.40724,2.00191,0.000374074,0.000374074,0.000374074
69,1043.41,2.5419,6.1632,1.86595,0.38539,0.78195,0.57629,0.38764,2.58687,5.86459,2.03475,0.000363075,0.000363075,0.000363075
70,1057.41,2.20015,7.29886,1.77923,0.35519,0.78772,0.58068,0.40336,2.45344,5.41338,1.98911,0.000352076,0.000352076,0.000352076
71,1071.47,2.27614,5.97793,1.84111,0.4208,0.74011,0.58956,0.40819,2.51152,6.11828,1.98883,0.000341077,0.000341077,0.000341077
72,1085.85,2.28338,6.15604,1.83584,0.39923,0.71368,0.55203,0.381,2.46972,5.90363,1.96892,0.000330078,0.000330078,0.000330078
73,1099.93,2.35987,5.6037,1.89992,0.40459,0.70187,0.52306,0.35237,2.56114,6.20555,1.99648,0.000319079,0.000319079,0.000319079
74,1114.38,2.34375,5.56513,1.87426,0.36908,0.77294,0.58097,0.39878,2.47137,5.77739,1.98828,0.00030808,0.00030808,0.00030808
75,1128.55,2.39353,5.91511,1.91313,0.36574,0.83875,0.64997,0.44592,2.45336,5.20221,1.9856,0.000297081,0.000297081,0.000297081
76,1142.7,2.35779,5.28994,1.9209,0.42181,0.76143,0.61579,0.41852,2.52913,5.97109,1.98999,0.000286083,0.000286083,0.000286083
77,1156.96,2.31765,4.73637,1.93525,0.34606,0.8102,0.60996,0.4237,2.44185,5.20709,1.96727,0.000275084,0.000275084,0.000275084
78,1171.12,2.19384,5.51325,1.85038,0.35077,0.80007,0.60193,0.41654,2.43026,5.43123,1.95466,0.000264085,0.000264085,0.000264085
79,1185.28,2.18988,7.02065,1.84832,0.40788,0.74702,0.5967,0.41415,2.46859,5.98536,1.95448,0.000253086,0.000253086,0.000253086
80,1199.32,2.11739,5.50335,1.86363,0.43411,0.75784,0.58894,0.41089,2.46487,5.82854,1.96615,0.000242087,0.000242087,0.000242087
81,1213.31,2.27599,5.96341,1.93274,0.47067,0.76174,0.63295,0.44098,2.48,5.72751,1.98985,0.000231088,0.000231088,0.000231088
82,1227.43,2.23481,6.14018,1.80595,0.38721,0.82199,0.66102,0.45666,2.46986,5.25507,1.98926,0.000220089,0.000220089,0.000220089
83,1241.74,2.30518,4.86961,1.91463,0.38117,0.80669,0.61804,0.42491,2.47033,5.42529,1.97471,0.00020909,0.00020909,0.00020909
84,1256.12,2.29843,5.32945,1.86854,0.37987,0.82405,0.63923,0.44296,2.44998,5.19791,1.97216,0.000198091,0.000198091,0.000198091
85,1270.43,2.36776,7.21003,1.91475,0.41974,0.81867,0.65591,0.45559,2.42749,5.19048,1.9548,0.000187092,0.000187092,0.000187092
86,1284.79,2.35885,5.60503,1.91255,0.41941,0.75569,0.61298,0.42425,2.47138,5.69065,1.95989,0.000176094,0.000176094,0.000176094
87,1299.17,2.34433,6.61197,1.84371,0.40942,0.76489,0.59539,0.4174,2.43807,5.8386,1.957,0.000165095,0.000165095,0.000165095
88,1313.29,2.19587,5.08131,1.8582,0.42042,0.80836,0.64405,0.44647,2.45049,5.48424,1.96886,0.000154096,0.000154096,0.000154096
89,1327.62,2.18086,4.96482,1.85332,0.38993,0.80708,0.62441,0.43081,2.46869,5.37005,1.97654,0.000143097,0.000143097,0.000143097
90,1341.66,2.18373,7.03189,1.78635,0.39464,0.77079,0.58984,0.4141,2.42306,5.71451,1.96261,0.000132098,0.000132098,0.000132098
91,1358.41,1.90445,7.43209,1.77501,0.41424,0.7854,0.63523,0.44401,2.42524,5.63211,1.96558,0.000121099,0.000121099,0.000121099
92,1372.31,1.8547,8.68187,1.66492,0.48116,0.754,0.62963,0.44437,2.41777,5.97638,1.96413,0.0001101,0.0001101,0.0001101
93,1385.98,1.84677,8.13339,1.58006,0.55429,0.56869,0.54982,0.39248,2.43936,7.23539,1.95958,9.91012e-05,9.91012e-05,9.91012e-05
94,1399.76,1.97791,6.24301,1.72839,0.526,0.59449,0.55474,0.39663,2.45676,6.92267,1.96073,8.81023e-05,8.81023e-05,8.81023e-05
95,1413.48,1.84766,7.04116,1.5718,0.53099,0.57148,0.54191,0.38892,2.46336,7.18009,1.96605,7.71034e-05,7.71034e-05,7.71034e-05
96,1427.29,1.98171,6.10826,1.73854,0.52766,0.59027,0.54961,0.39447,2.44142,7.03252,1.96912,6.61045e-05,6.61045e-05,6.61045e-05
97,1441.14,1.76437,7.08643,1.55656,0.5098,0.67317,0.58322,0.41529,2.42351,6.62229,1.96427,5.51056e-05,5.51056e-05,5.51056e-05
