epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,575.516,2.21133,1.13865,1.81872,0.92172,0.86877,0.93501,0.64544,2.16039,1.02904,1.88269,0.000660045,0.000660045,0.000660045
43,587.544,2.29163,1.14231,1.83403,0.89442,0.86771,0.92131,0.63423,2.11786,1.13043,1.87395,0.000649046,0.000649046,0.000649046
44,599.383,2.24321,1.18207,1.85228,0.91804,0.87827,0.94437,0.65065,2.21751,1.00912,1.89345,0.000638047,0.000638047,0.000638047
45,614.712,2.23507,1.12576,1.83005,0.91572,0.87961,0.94165,0.65082,2.17219,0.99823,1.88027,0.000627048,0.000627048,0.000627048
46,626.774,2.2508,1.12247,1.83882,0.90949,0.8863,0.94281,0.64654,2.16917,1.00733,1.88339,0.000616049,0.000616049,0.000616049
47,639.469,2.20377,1.12017,1.83453,0.91545,0.88205,0.94348,0.65763,2.18421,0.97392,1.88198,0.000605051,0.000605051,0.000605051
48,651.337,2.17787,1.10115,1.82849,0.9313,0.88152,0.94329,0.65297,2.18658,0.9891,1.88291,0.000594052,0.000594052,0.000594052
49,669.025,2.21732,1.0761,1.82721,0.92668,0.88893,0.94689,0.65831,2.18004,1.00019,1.88159,0.000583053,0.000583053,0.000583053
50,681.125,2.23509,1.06539,1.84822,0.91243,0.88784,0.94339,0.64994,2.212,0.99605,1.90706,0.000572054,0.000572054,0.000572054
51,694.134,2.23079,1.08373,1.84337,0.91976,0.88801,0.94881,0.66082,2.20185,0.98381,1.88595,0.000561055,0.000561055,0.000561055
52,707.465,2.24876,1.09545,1.83439,0.93311,0.88983,0.95111,0.66971,2.12502,0.92818,1.87325,0.000550056,0.000550056,0.000550056
53,720.604,2.23639,1.06606,1.83753,0.92741,0.89149,0.9496,0.66008,2.18045,0.9557,1.877,0.000539057,0.000539057,0.000539057
54,732.946,2.19048,1.03699,1.85175,0.92853,0.89209,0.95124,0.65962,2.17436,0.9629,1.87493,0.000528058,0.000528058,0.000528058
55,745.323,2.20777,1.03578,1.83503,0.92279,0.88677,0.94846,0.65884,2.22956,0.96727,1.89895,0.000517059,0.000517059,0.000517059
56,757.581,2.19629,1.06138,1.83003,0.91692,0.88026,0.94207,0.65175,2.15083,0.9998,1.88036,0.00050606,0.00050606,0.00050606
57,769.444,2.20524,1.09223,1.86498,0.92921,0.8925,0.95086,0.6618,2.19566,0.9621,1.88279,0.000495062,0.000495062,0.000495062
58,781.524,2.16121,1.04119,1.80604,0.92914,0.88418,0.94736,0.65706,2.13804,0.96307,1.87879,0.000484063,0.000484063,0.000484063
59,793.735,2.16705,1.03898,1.82069,0.92285,0.89777,0.95156,0.66623,2.17463,0.94691,1.87092,0.000473064,0.000473064,0.000473064
60,806.122,2.24077,1.06757,1.85305,0.9289,0.89401,0.95035,0.66737,2.10634,0.94768,1.8675,0.000462065,0.000462065,0.000462065
61,817.997,2.19584,1.05779,1.82901,0.92634,0.88251,0.9469,0.65613,2.14986,0.96233,1.86723,0.000451066,0.000451066,0.000451066
62,830.132,2.16379,1.00837,1.83006,0.93945,0.90348,0.95556,0.6676,2.09994,0.90928,1.86626,0.000440067,0.000440067,0.000440067
63,842.632,2.18758,1.00076,1.82443,0.92655,0.90983,0.95507,0.67336,2.14681,0.91789,1.87299,0.000429068,0.000429068,0.000429068
64,854.661,2.13544,0.98158,1.83267,0.92345,0.90682,0.95488,0.6769,2.16172,0.91475,1.87601,0.000418069,0.000418069,0.000418069
65,867.114,2.14914,0.98046,1.8147,0.9278,0.91292,0.95727,0.67193,2.11959,0.91033,1.87117,0.00040707,0.00040707,0.00040707
66,879.579,2.14926,0.97283,1.81973,0.94601,0.9008,0.95668,0.68025,2.0977,0.89969,1.86571,0.000396071,0.000396071,0.000396071
67,891.93,2.14502,0.9739,1.81784,0.93867,0.90734,0.95939,0.68215,2.12806,0.88965,1.87313,0.000385073,0.000385073,0.000385073
68,904.128,2.16228,0.98293,1.8425,0.93407,0.90968,0.95935,0.68031,2.09861,0.89347,1.86562,0.000374074,0.000374074,0.000374074
69,916.427,2.1407,0.95383,1.82231,0.93678,0.90597,0.95861,0.67964,2.09391,0.88069,1.8647,0.000363075,0.000363075,0.000363075
70,929.128,2.16084,0.9587,1.82008,0.93492,0.91133,0.96004,0.67648,2.12986,0.88771,1.87096,0.000352076,0.000352076,0.000352076
71,941.321,2.08717,0.93881,1.82274,0.94184,0.90595,0.95944,0.68459,2.10859,0.89426,1.86967,0.000341077,0.000341077,0.000341077
72,954.285,2.15428,0.9359,1.80793,0.93304,0.9153,0.95782,0.68191,2.13971,0.8987,1.87273,0.000330078,0.000330078,0.000330078
73,966.457,2.14836,0.94295,1.80353,0.94341,0.90079,0.95766,0.67634,2.11654,0.93363,1.86545,0.000319079,0.000319079,0.000319079
74,978.486,2.09156,0.92626,1.8152,0.93413,0.91354,0.95643,0.68752,2.07008,0.87669,1.86167,0.00030808,0.00030808,0.00030808
75,990.475,2.09267,0.91367,1.80721,0.93923,0.90938,0.95945,0.68258,2.12904,0.92145,1.8722,0.000297081,0.000297081,0.000297081
76,1002.29,2.09351,0.901,1.81054,0.93795,0.90904,0.95954,0.68402,2.11612,0.87925,1.88389,0.000286083,0.000286083,0.000286083
77,1014.07,2.056,0.89725,1.79424,0.93828,0.91086,0.9608,0.68685,2.12694,0.89111,1.87016,0.000275084,0.000275084,0.000275084
78,1026.16,2.07562,0.90547,1.80701,0.93978,0.91094,0.96039,0.68869,2.15498,0.87403,1.87813,0.000264085,0.000264085,0.000264085
79,1037.94,2.09886,0.91226,1.82204,0.94516,0.90875,0.95951,0.67893,2.17252,0.88084,1.88377,0.000253086,0.000253086,0.000253086
