epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.7507,1.88832,513.404,1.242,0,0,0,0,3.72131,9.50175,2.69102,0.000361917,0.000361917,0.000361917
2,80.4326,2.69583,290.054,1.74012,0,0,0,0,3.63367,9.25386,2.57506,0.000725001,0.000725001,0.000725001
3,93.6931,2.59773,296.789,1.63993,6e-05,0.0009,3e-05,1e-05,3.58365,8.95581,2.48295,0.00108075,0.00108075,0.00108075
4,106.823,2.3924,332.753,1.43745,0,0,0,0,4.65407,9.18422,3.01959,0.001078,0.001078,0.001078
5,119.901,2.28164,244.308,1.3981,0,0,0,0,5.69085,9.55661,4.14741,0.001067,0.001067,0.001067
6,132.867,2.87582,169.787,1.83289,0,0,0,0,4.34598,9.46297,3.69547,0.00105601,0.00105601,0.00105601
7,145.618,1.94162,168.275,1.44867,0,0,0,0,3.39169,9.50656,2.43887,0.00104501,0.00104501,0.00104501
8,158.747,1.99466,124.797,1.48627,0,0,0,0,3.3102,9.59776,2.44338,0.00103401,0.00103401,0.00103401
9,171.652,2.44488,91.1387,1.56222,0,0,0,0,3.60889,9.56926,2.50686,0.00102301,0.00102301,0.00102301
10,184.789,2.46529,66.1025,1.71151,0,0,0,0,3.46015,9.87374,2.5942,0.00101201,0.00101201,0.00101201
11,198.227,2.3604,43.407,1.6905,0,0,0,0,3.82922,10.0484,2.73414,0.00100101,0.00100101,0.00100101
12,211.113,2.36602,40.6725,1.59603,0,0,0,0,3.45249,9.59432,2.53872,0.000990012,0.000990012,0.000990012
13,224.63,2.16395,29.9774,1.40881,0,0,0,0,4.04587,10.4646,2.83627,0.000979013,0.000979013,0.000979013
14,237.426,1.84245,27.1535,1.31174,0,0,0,0,3.46715,9.59847,2.56318,0.000968014,0.000968014,0.000968014
15,250.521,2.26508,19.7876,1.69478,0.2,0.00057,0.10028,0.08429,3.91138,10.5265,2.77064,0.000957015,0.000957015,0.000957015
16,263.316,2.28725,16.9316,1.71937,0.18,0.00103,0.09056,0.06452,3.98138,10.8768,2.78985,0.000946016,0.000946016,0.000946016
17,276.041,2.14692,15.7524,1.65087,0,0,0,0,3.58174,10.1174,2.547,0.000935018,0.000935018,0.000935018
18,288.684,2.09391,14.6689,1.3046,0.1,0.0008,0.0507,0.03923,4.55099,10.8226,3.43598,0.000924019,0.000924019,0.000924019
19,301.402,2.39117,12.8518,1.70368,0.2,0.00024,0.10012,0.02002,3.36592,10.408,2.60056,0.00091302,0.00091302,0.00091302
20,314.128,2.13278,12.1965,1.45287,0.1,0.00286,0.05124,0.03817,3.46017,10.5271,2.50739,0.000902021,0.000902021,0.000902021
21,326.574,1.6613,11.2412,1.20923,0,0,0,0,4.13111,10.8407,2.86933,0.000891022,0.000891022,0.000891022
22,340.046,2.26015,10.2932,1.556,0,0,0,0,4.50322,10.7924,3.43905,0.000880023,0.000880023,0.000880023
23,353.223,2.40607,9.77771,1.78421,0.21196,0.12076,0.13297,0.08095,3.20421,8.9449,2.36888,0.000869024,0.000869024,0.000869024
24,366.204,1.77898,9.04318,1.32443,0.06493,0.02059,0.03697,0.0247,3.1618,11.1296,2.33772,0.000858025,0.000858025,0.000858025
25,379.809,2.11176,8.97696,1.42359,0.21668,0.13158,0.15022,0.09193,3.13566,9.17913,2.35588,0.000847026,0.000847026,0.000847026
26,392.635,2.05223,9.07832,1.468,0.02857,0.00011,0.01465,0.01172,3.40145,10.5008,2.7773,0.000836027,0.000836027,0.000836027
27,405.49,1.96227,8.67051,1.31754,0.25457,0.09175,0.16946,0.09831,3.4726,9.81023,2.54757,0.000825029,0.000825029,0.000825029
28,418.584,2.64015,9.19457,1.96223,0.37193,0.18616,0.25496,0.15888,3.18751,8.80832,2.42984,0.00081403,0.00081403,0.00081403
29,431.636,1.78602,8.23329,1.32899,0.53215,0.01447,0.2717,0.18938,3.19027,10.0114,2.36009,0.000803031,0.000803031,0.000803031
30,444.683,2.09764,8.15895,1.44323,0.5239,0.10946,0.30737,0.21843,3.2,9.78794,2.42114,0.000792032,0.000792032,0.000792032
31,457.423,1.9831,7.89751,1.4251,0.42612,0.10396,0.25797,0.17555,3.19161,9.54216,2.37427,0.000781033,0.000781033,0.000781033
32,470.957,2.05671,7.9451,1.46441,0.41533,0.03545,0.22545,0.15766,3.95562,10.6584,3.12697,0.000770034,0.000770034,0.000770034
33,484.495,1.99364,7.65001,1.37549,0.41202,0.05355,0.22708,0.15509,3.39758,9.93144,2.39445,0.000759035,0.000759035,0.000759035
34,497.781,1.91612,7.59433,1.53386,0.39192,0.1333,0.23725,0.16009,3.25584,9.27688,2.40469,0.000748036,0.000748036,0.000748036
35,510.801,1.79686,6.9621,1.22611,0.57462,0.02237,0.29693,0.21741,2.99015,10.0722,2.33407,0.000737037,0.000737037,0.000737037
36,523.631,1.72309,7.36142,1.36746,0.37219,0.08136,0.21748,0.14921,3.15224,9.63178,2.39218,0.000726038,0.000726038,0.000726038
37,536.834,1.95335,7.60942,1.41332,0.32176,0.05721,0.17884,0.12975,3.04979,9.62535,2.33062,0.00071504,0.00071504,0.00071504
38,549.642,1.82135,7.0039,1.3942,0.3947,0.0493,0.21795,0.15819,2.95589,9.60013,2.30237,0.000704041,0.000704041,0.000704041
39,563.318,2.01221,7.39549,1.46717,0.36543,0.16285,0.25983,0.18401,3.0208,9.40145,2.27941,0.000693042,0.000693042,0.000693042
40,576.502,1.75886,7.13949,1.32411,0.43001,0.13368,0.27154,0.19308,2.97594,9.47895,2.30701,0.000682043,0.000682043,0.000682043
41,589.946,1.8314,7.25844,1.47322,0.42296,0.13817,0.26786,0.19064,3.04475,9.16885,2.29125,0.000671044,0.000671044,0.000671044
