epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.648,3.07809,26.1392,2.1594,0.04669,0.11653,0.04224,0.02795,2.77884,8.67261,1.95085,0.000361917,0.000361917,0.000361917
2,88.3175,2.95783,13.5365,2.01562,0.03474,0.24363,0.08504,0.05822,2.83233,7.66574,1.9779,0.000725001,0.000725001,0.000725001
3,103.65,2.85804,20.7871,2.00762,0.04269,0.35474,0.11004,0.06997,2.90748,6.63912,2.03689,0.00108075,0.00108075,0.00108075
4,118.851,3.01298,12.7892,2.01532,0.09496,0.54261,0.28143,0.17081,2.83283,6.32804,2.07097,0.001078,0.001078,0.001078
5,133.727,2.7692,10.9068,2.04568,0.18131,0.71169,0.40152,0.25668,2.71128,4.89143,2.02705,0.001067,0.001067,0.001067
6,148.783,2.96027,8.7562,2.02216,0.12208,0.56177,0.30084,0.13749,3.05162,5.57532,2.07621,0.00105601,0.00105601,0.00105601
7,163.787,2.89775,8.35257,2.05693,0.17388,0.67004,0.37012,0.21445,2.92485,5.64414,2.08242,0.00104501,0.00104501,0.00104501
8,178.492,2.86977,7.85056,2.04861,0.21492,0.71667,0.43727,0.28277,2.76152,5.483,2.04733,0.00103401,0.00103401,0.00103401
9,193.009,2.58421,8.16289,1.99724,0.2296,0.75762,0.49819,0.29719,2.8957,4.28362,2.03969,0.00102301,0.00102301,0.00102301
10,208.565,2.90376,5.85234,2.00713,0.50785,0.55539,0.5496,0.34017,2.80511,3.92281,2.01185,0.00101201,0.00101201,0.00101201
11,223.667,2.77766,6.75147,1.98455,0.19043,0.74591,0.42125,0.25699,2.73247,4.32776,1.97729,0.00100101,0.00100101,0.00100101
12,238.559,2.71202,6.87965,1.99202,0.26402,0.74567,0.48163,0.29709,2.70555,4.56948,2.01253,0.000990012,0.000990012,0.000990012
13,253.364,2.68347,7.3409,1.96426,0.23671,0.78908,0.5367,0.3512,2.57699,4.32806,1.97978,0.000979013,0.000979013,0.000979013
14,268.28,2.81315,6.16958,1.95812,0.23948,0.83885,0.58413,0.35198,2.78199,3.76298,1.98728,0.000968014,0.000968014,0.000968014
15,282.949,2.64582,6.1204,1.97135,0.2334,0.80086,0.58765,0.38276,2.5894,4.38936,1.9608,0.000957015,0.000957015,0.000957015
16,297.733,2.68161,6.73958,1.96661,0.28017,0.73132,0.46126,0.28641,2.77169,5.34173,1.98933,0.000946016,0.000946016,0.000946016
17,312.764,2.64721,6.30136,1.96887,0.24904,0.73796,0.50377,0.32751,2.63508,4.73585,2.02851,0.000935018,0.000935018,0.000935018
18,327.5,2.63158,5.6009,1.95136,0.24099,0.82928,0.59686,0.3869,2.60069,4.28916,1.96235,0.000924019,0.000924019,0.000924019
19,342.202,2.51075,5.68155,1.92668,0.3372,0.82766,0.63312,0.40056,2.67312,4.03011,1.96802,0.00091302,0.00091302,0.00091302
20,357.072,2.56902,5.53281,1.96507,0.2706,0.80692,0.51178,0.3395,2.62429,4.27425,1.9391,0.000902021,0.000902021,0.000902021
21,372.336,2.6053,4.74586,1.93925,0.31414,0.79763,0.57316,0.35498,2.69125,4.27048,1.98103,0.000891022,0.000891022,0.000891022
22,386.992,2.65375,5.18065,1.94902,0.28097,0.85209,0.6413,0.42071,2.59168,3.73827,1.94315,0.000880023,0.000880023,0.000880023
23,401.596,2.45863,5.05653,1.95876,0.26689,0.85891,0.63357,0.43013,2.4374,3.77468,1.92677,0.000869024,0.000869024,0.000869024
24,416.38,2.45862,10.7478,1.916,0.29632,0.72392,0.51657,0.33054,2.62569,5.11247,1.98472,0.000858025,0.000858025,0.000858025
25,431.229,2.62367,5.28036,1.94519,0.26898,0.82075,0.57044,0.37562,2.5713,3.9791,1.94247,0.000847026,0.000847026,0.000847026
26,446.083,2.60208,4.58687,1.92869,0.30229,0.83843,0.66857,0.43803,2.55188,4.07348,1.93928,0.000836027,0.000836027,0.000836027
27,460.779,2.54134,5.0126,1.94645,0.30558,0.84879,0.63527,0.39806,2.65429,4.42926,1.93625,0.000825029,0.000825029,0.000825029
28,475.391,2.62232,5.19265,1.93471,0.29912,0.82621,0.57664,0.38378,2.55711,3.85341,1.96283,0.00081403,0.00081403,0.00081403
29,490.174,2.5852,4.54447,1.93259,0.61866,0.66317,0.66281,0.44353,2.50626,3.83068,1.93471,0.000803031,0.000803031,0.000803031
30,505.037,2.55363,4.62364,1.9074,0.30784,0.83437,0.66059,0.44508,2.49979,4.24445,1.93342,0.000792032,0.000792032,0.000792032
31,520.205,2.58458,5.0416,1.94785,0.33924,0.81759,0.58928,0.39234,2.51528,4.19861,1.94449,0.000781033,0.000781033,0.000781033
32,534.877,2.54108,4.67154,1.96424,0.32991,0.86826,0.73676,0.4876,2.59239,3.9719,1.97128,0.000770034,0.000770034,0.000770034
33,549.945,2.46497,4.72979,1.9313,0.31464,0.85533,0.70681,0.47392,2.52277,3.99461,1.94656,0.000759035,0.000759035,0.000759035
34,564.897,2.61361,4.63387,1.93989,0.71349,0.62953,0.73818,0.45978,2.64578,3.41873,1.95393,0.000748036,0.000748036,0.000748036
35,579.809,2.57973,4.66188,1.9485,0.33498,0.84229,0.67976,0.44502,2.57835,4.59369,1.94535,0.000737037,0.000737037,0.000737037
36,595.048,2.48409,4.56755,1.92361,0.32861,0.86811,0.70712,0.47602,2.5037,3.74765,1.93641,0.000726038,0.000726038,0.000726038
37,610.038,2.48647,4.11947,1.93041,0.75204,0.69637,0.78137,0.52279,2.5023,3.18471,1.93019,0.00071504,0.00071504,0.00071504
38,625.439,2.51314,4.47636,1.88253,0.48318,0.77179,0.63093,0.41635,2.46051,4.33408,1.91302,0.000704041,0.000704041,0.000704041
39,640.534,2.52604,4.75464,1.8877,0.36764,0.87149,0.70756,0.47393,2.46558,4.1196,1.90777,0.000693042,0.000693042,0.000693042
40,655.896,2.46006,4.49494,1.90286,0.30021,0.89231,0.78894,0.52547,2.5082,3.55518,1.91906,0.000682043,0.000682043,0.000682043
41,670.738,2.3936,4.3409,1.88644,0.5871,0.77777,0.73548,0.49847,2.48521,3.56786,1.92221,0.000671044,0.000671044,0.000671044
